year,PM25_Emissions,Region,sector,subsector,activity,capacity,longitude,latitude
2024,3.92,Arcos de la Frontera power station,power,electricity-generation,1241120.0,1575.4,-5.8164,36.6721
2024,3.91158,Escatrón 3 power station,power,electricity-generation,897992.0,800.0,-0.3365,41.2973
2024,3.851,Sagunto power station,power,electricity-generation,1871730.0,1232.1,-0.2332,39.6425
2024,3.234,San Roque Refinery power station,power,electricity-generation,321230.0,164.7,-5.3881,36.1888
2024,3.195,Torrelavega power station,power,electricity-generation,83215.0,37.0,-4.0588,43.3608
2024,3.082,Aceca 3 power station,power,electricity-generation,1498770.0,759.0,-3.8553,39.9434
2024,3.0307,Castejón power station,power,electricity-generation,1472670.0,1222.2,-1.6773,42.1718
2024,2.942454,Escombreras Iberdrola power station,power,electricity-generation,716080.5,800.0,-0.9513,37.5647
2024,2.744,San Roque 1 power station,power,electricity-generation,1333880.0,792.0,-5.4136,36.1956
2024,2.31,Escatron Peaker A.I.E. power station,power,electricity-generation,466610.0,276.0,-0.2176,41.2809
2024,2.2101,Palos power station,power,electricity-generation,1074290.0,1166.8,-6.8842,37.1843
2024,2.0506,Arrubal power station,power,electricity-generation,997280.0,784.6,-2.2511,42.4194
2024,1.9482,Puerto De Barcelona power station,power,electricity-generation,947415.0,866.2,2.1594,41.3366
2024,1.64947,Campo de Gibraltar power station,power,electricity-generation,802330.0,780.5,-5.3933,36.1834
2024,1.5599,Sabón 3 power station,power,electricity-generation,758090.0,391.0,-8.503,43.329
2024,1.491,SAICA Mill Zaragoza power station,power,electricity-generation,210830.0,108.1,-0.8704,41.6734
2024,1.2941,El Fangal power station,power,electricity-generation,629240.0,1199.0,-0.9458,37.5709
2024,1.0312,Cartagena Refinery power station,power,electricity-generation,175470.0,95.9,-1.0999,37.7043
2024,1.0055,Málaga power station,power,electricity-generation,489184.0,416.0,-4.5631,36.7495
2024,0.8331,NUFRI,power,electricity-generation,63346.0,32.48,0.9,41.6333
2024,0.73931,Santurce power station,power,electricity-generation,359504.6,396.0,-3.0539,43.34
2024,0.6291,Neumaticos Michelin Vitoria power station,power,electricity-generation,104846.0,56.68,-2.6717,42.8667
2024,0.629,Fuenlabrada Mill power station,power,electricity-generation,105875.0,57.54,-3.7706,40.269
2024,0.6182,Tortosa Energia power station,power,electricity-generation,75908.0,41.6,0.5389,40.7702
2024,0.59117,Tarragona power station,power,electricity-generation,147360.0,410.0,1.1805,41.1102
2024,0.5901,Repsol Cartagena Refinery power station,power,electricity-generation,164400.0,86.74,-0.9189,37.5728
2024,0.5899,Rossello Mill power station,power,electricity-generation,44859.0,23.0,0.595,41.6942
2024,0.5515,Zaragoza Mill power station,power,electricity-generation,83864.0,43.0,-0.8247,41.6929
2024,0.5386,Solvay Torrelavega power station,power,electricity-generation,97564.0,55.0,-4.0447,43.3766
2024,0.5362,Duenas Mill power station,power,electricity-generation,95437.0,53.36,-4.5601,41.8395
2024,0.5271,Barcelona Cartonboard power station,power,electricity-generation,92195.0,51.1,1.9557,41.4642
